,Suburb,Address,Rooms,Type,Price,SellerG,Postcode,Regionname,Propertycount,Distance,CouncilArea,latitude,longitude
16968,Glenroy,97 Loongana Av,4,h,920000.0,Professionals,3046,Northern Metropolitan,8870,11.2,Moreland City Council,-37.7175,144.92933333333335
16969,Glenroy,2/36 Prospect St,4,t,607000.0,YPA,3046,Northern Metropolitan,8870,11.2,Moreland City Council,-37.7175,144.92933333333335
16970,Greensborough,4 Aintree Ct,4,h,800000.0,Darren,3088,Northern Metropolitan,8524,16.1,Banyule City Council,-37.7064,145.12347499999998
16971,Greensborough,4/81 Alexandra St,2,u,570000.0,Darren,3088,Northern Metropolitan,8524,16.1,Banyule City Council,-37.7064,145.12347499999998
16972,Greenvale,44 Drummond St,6,h,1435000.0,Barry,3059,Northern Metropolitan,4864,20.4,Hume City Council,-37.6366,144.8919
16973,Greenvale,1 Hull Ct,3,h,700000.0,LJ,3059,Northern Metropolitan,4864,20.4,Hume City Council,-37.6366,144.8919
16974,Hampton,1/3 Alicia St,3,u,1450000.0,hockingstuart,3188,Southern Metropolitan,5454,13.8,Bayside City Council,-37.9374,145.01819999999998
16975,Hampton,75 Crisp St,5,h,3201000.0,Marshall,3188,Southern Metropolitan,5454,13.8,Bayside City Council,-37.9374,145.01819999999998
16976,Hampton,4/308 Hampton St,2,u,875500.0,RT,3188,Southern Metropolitan,5454,13.8,Bayside City Council,-37.9374,145.01819999999998
16977,Hampton,6/63 Linacre Rd,3,t,1400000.0,Buxton,3188,Southern Metropolitan,5454,13.8,Bayside City Council,-37.9374,145.01819999999998
16978,Hampton,5b Ocean St,3,u,1457500.0,hockingstuart,3188,Southern Metropolitan,5454,13.8,Bayside City Council,-37.9374,145.01819999999998
16979,Hampton,3 Smith St,2,h,1465000.0,Marshall,3188,Southern Metropolitan,5454,13.8,Bayside City Council,-37.9374,145.01819999999998
16980,Hampton Park,75 Somerville Rd,4,h,600800.0,LJ,3976,South-Eastern Metropolitan,8256,33.3,Casey City Council,-38.0362,145.2657
16981,Hawthorn,11/70 Church St,3,u,630000.0,Jellis,3122,Southern Metropolitan,11308,5.3,Boroondara City Council,-37.8344,145.03906
16982,Hawthorn,36 College St,2,h,2265000.0,Morrison,3122,Southern Metropolitan,11308,5.3,Boroondara City Council,-37.8344,145.03906
16983,Hawthorn,6 Dean Av,4,h,4300000.0,Marshall,3122,Southern Metropolitan,11308,5.3,Boroondara City Council,-37.8344,145.03906
16984,Hawthorn,11/179 Power St,2,u,605000.0,Jellis,3122,Southern Metropolitan,11308,5.3,Boroondara City Council,-37.8344,145.03906
16985,Hawthorn,3/8 Simpson Pl,3,h,1995000.0,Sotheby's,3122,Southern Metropolitan,11308,5.3,Boroondara City Council,-37.8344,145.03906
16986,Hawthorn East,452 Barkers Rd,5,h,3210000.0,Jellis,3123,Southern Metropolitan,6482,6.2,Boroondara City Council,-37.8167,145.05020000000002
16987,Hawthorn East,2/2 Clifton Rd,2,u,840000.0,Jellis,3123,Southern Metropolitan,6482,6.2,Boroondara City Council,-37.8167,145.05020000000002
16988,Hawthorn East,21 Myrniong Gr,4,h,3310000.0,RT,3123,Southern Metropolitan,6482,6.2,Boroondara City Council,-37.8167,145.05020000000002
16989,Heidelberg Heights,15 Baker Cr,4,h,890000.0,Love,3081,Eastern Metropolitan,2947,8.8,Banyule City Council,-37.7523,145.045725
16990,Heidelberg Heights,26 Marie Av,3,h,755000.0,Miles,3081,Eastern Metropolitan,2947,8.8,Banyule City Council,-37.7523,145.045725
16991,Heidelberg West,19 Derna St,2,h,752000.0,Barry,3081,Eastern Metropolitan,2674,8.8,Banyule City Council,-37.7523,145.045725
16992,Heidelberg West,6 Pandanus Ct,2,h,777000.0,Barry,3081,Eastern Metropolitan,2674,8.8,Banyule City Council,-37.7523,145.045725
16993,Highett,3/61 Jackson Rd,3,t,937750.0,Charlton,3190,Southern Metropolitan,4794,16.0,Bayside City Council,-37.9498,145.0343
16994,Hillside,64 Domain Dr,4,h,580000.0,YPA,3037,Western Metropolitan,5556,18.0,Brimbank City Council,-37.7184,144.75860000000003
16995,Hillside,19 Glenbruar Dr,4,h,576500.0,Barry,3037,Western Metropolitan,5556,18.0,Brimbank City Council,-37.7184,144.75860000000003
16996,Hoppers Crossing,219 Bellbridge Dr,3,h,480000.0,YPA,3029,Western Metropolitan,13830,18.4,Wyndham City Council,-37.801,144.6994
16997,Hoppers Crossing,30 Evrah Dr,3,h,510000.0,Triwest,3029,Western Metropolitan,13830,18.4,Wyndham City Council,-37.801,144.6994
16998,Hoppers Crossing,15 First Av,3,h,502000.0,Greg,3029,Western Metropolitan,13830,18.4,Wyndham City Council,-37.801,144.6994
16999,Hoppers Crossing,7 Paloma Ct,4,h,553500.0,PRDNationwide,3029,Western Metropolitan,13830,18.4,Wyndham City Council,-37.801,144.6994
17000,Ivanhoe,32 Ailsa Gr,3,h,1850000.0,Miles,3079,Eastern Metropolitan,5549,7.8,Banyule City Council,-37.769,145.04796666666667
17001,Ivanhoe,3/11 Clark Rd,4,h,1950000.0,Marshall,3079,Eastern Metropolitan,5549,7.8,Banyule City Council,-37.769,145.04796666666667
17002,Ivanhoe,21 The Boulevard,2,h,1910000.0,Nelson,3079,Eastern Metropolitan,5549,7.8,Banyule City Council,-37.769,145.04796666666667
17003,Jacana,16 Gavin St,3,h,537000.0,Barry,3047,Northern Metropolitan,851,14.0,Hume City Council,-37.6838,144.9248
17004,Keilor Downs,61 Dongola Rd,3,h,652500.0,Barry,3038,Western Metropolitan,3656,15.5,Brimbank City Council,-37.6985,144.793475
17005,Keilor Downs,2/15 Karu Ct,4,h,632000.0,Nelson,3038,Western Metropolitan,3656,15.5,Brimbank City Council,-37.6985,144.793475
17006,Keilor Park,50 Collinson St,4,h,820500.0,YPA,3042,Western Metropolitan,1119,10.4,Brimbank City Council,-37.7238,144.877275
17007,Kensington,13/26 Barnett St,1,u,445000.0,Jellis,3031,Northern Metropolitan,5263,3.4,Melbourne City Council,-37.7937,144.92295
17008,Kew,2A Churchill St,3,h,1476000.0,Jellis,3101,Southern Metropolitan,10331,5.4,Boroondara City Council,-37.8064,145.034
17009,Kew,30 College Pde,4,h,2590000.0,Marshall,3101,Southern Metropolitan,10331,5.4,Boroondara City Council,-37.8064,145.034
17010,Kew,31 Peel St,8,h,3130000.0,Jellis,3101,Southern Metropolitan,10331,5.4,Boroondara City Council,-37.8064,145.034
17011,Kew,45 Stevenson St,4,h,2265000.0,Jellis,3101,Southern Metropolitan,10331,5.4,Boroondara City Council,-37.8064,145.034
17012,Kew East,17 Hamilton St,5,h,3028000.0,Jellis,3102,Southern Metropolitan,2671,7.3,Boroondara City Council,-37.7947,145.0532
17013,Keysborough,14 Filer Ct,3,h,655000.0,Buxton,3173,South-Eastern Metropolitan,8459,25.2,Greater Dandenong City Council,-37.9961,145.1686
17014,Kilsyth,68 Geoffrey Dr,5,h,1375000.0,McGrath,3137,Eastern Metropolitan,4654,26.0,Maroondah City Council,-37.8297,145.3139
17015,Kingsville,153 Coronation St,3,h,967500.0,Jas,3012,Western Metropolitan,1808,6.4,Maribyrnong City Council,-37.816,144.86338
17016,Kingsville,2/57 Kingsville St,1,u,210000.0,Jas,3012,Western Metropolitan,1808,6.4,Maribyrnong City Council,-37.816,144.86338
17017,Lalor,20 Ella Ct,3,h,522000.0,Harcourts,3075,Northern Metropolitan,8279,16.3,Whittlesea City Council,-37.6673,145.0145
17018,Lalor,4/389 High St,2,u,382000.0,Love,3075,Northern Metropolitan,8279,16.3,Whittlesea City Council,-37.6673,145.0145
17019,Lalor,42 Kiama Dr,3,h,585500.0,Harcourts,3075,Northern Metropolitan,8279,16.3,Whittlesea City Council,-37.6673,145.0145
17020,Lower Plenty,22 Glenauburn Rd,4,h,980000.0,Darren,3093,Eastern Metropolitan,1624,14.6,Banyule City Council,-37.7295,145.1181
17021,Maidstone,17/46 Eucalyptus Dr,2,u,352500.0,hockingstuart,3012,Western Metropolitan,3873,6.4,Maribyrnong City Council,-37.816,144.86338
17022,Malvern,9 Fraser St,3,h,3010000.0,Jellis,3144,Southern Metropolitan,4675,5.9,Stonnington City Council,-37.8512,145.0336
17023,Malvern East,68A Emo Rd,3,h,1625000.0,hockingstuart,3145,Southern Metropolitan,8801,8.4,Stonnington City Council,-37.8775,145.053
17024,Malvern East,8/7 Hedgeley Av,2,u,695000.0,Jellis,3145,Southern Metropolitan,8801,8.4,Stonnington City Council,-37.8775,145.053
17025,Malvern East,558 Waverley Rd,3,h,1500000.0,Marshall,3145,Southern Metropolitan,8801,8.4,Stonnington City Council,-37.8775,145.053
17026,Maribyrnong,20/9 Fabian Ct,2,t,429000.0,Trimson,3032,Western Metropolitan,4918,4.3,Maribyrnong City Council,-37.776,144.91049999999998
17027,Maribyrnong,44/2 Horizon Dr,2,u,495000.0,Brad,3032,Western Metropolitan,4918,4.3,Maribyrnong City Council,-37.776,144.91049999999998
17028,McKinnon,7 Carlton St,4,h,2368000.0,hockingstuart,3204,Southern Metropolitan,2397,11.4,Glen Eira City Council,-37.9107,145.06560000000002
17029,McKinnon,9 Clee St,5,h,1625000.0,Woodards,3204,Southern Metropolitan,2397,11.4,Glen Eira City Council,-37.9107,145.06560000000002
17030,Melbourne,715/300 Swanston St,2,u,483000.0,Greg,3000,Northern Metropolitan,17496,0.0,Melbourne City Council,-37.813,144.9611
17031,Melton,111 Barries Rd,4,h,347500.0,hockingstuart,3337,Western Victoria,3600,31.7,Melton City Council,-37.6714,144.57569999999998
17032,Melton South,1 Brand Ct,3,h,359000.0,hockingstuart,3338,Western Victoria,4718,29.8,Melton City Council,-37.805,144.541375
17033,Melton West,3 Findon Wy,4,h,292500.0,hockingstuart,3337,Northern Victoria,6065,31.7,Melton City Council,-37.6714,144.57569999999998
17034,Mentone,1/60 Beach Rd,2,u,675000.0,Buxton,3194,South-Eastern Metropolitan,6162,20.0,Kingston City Council,-37.9833,145.0756
17035,Mentone,2/74 Collins St,2,u,700500.0,Hodges,3194,South-Eastern Metropolitan,6162,20.0,Kingston City Council,-37.9833,145.0756
17036,Mentone,17 Houston St,2,h,670000.0,Hodges,3194,South-Eastern Metropolitan,6162,20.0,Kingston City Council,-37.9833,145.0756
17037,Mentone,4/113 Warrigal Rd,2,u,480000.0,Ray,3194,South-Eastern Metropolitan,6162,20.0,Kingston City Council,-37.9833,145.0756
17038,Mill Park,30A Bradley Dr,3,h,450000.0,Ray,3082,Northern Metropolitan,10529,17.9,Whittlesea City Council,-37.6633,145.0615
17039,Mill Park,1C Bremner Ct,3,h,456250.0,Ray,3082,Northern Metropolitan,10529,17.9,Whittlesea City Council,-37.6633,145.0615
17040,Mill Park,7 Konrads Cr,4,h,555000.0,Harcourts,3082,Northern Metropolitan,10529,17.9,Whittlesea City Council,-37.6633,145.0615
17041,Mill Park,2 Laver Ct,3,h,641000.0,Harcourts,3082,Northern Metropolitan,10529,17.9,Whittlesea City Council,-37.6633,145.0615
17042,Mill Park,2 MacArthur Ct,3,h,620000.0,Ray,3082,Northern Metropolitan,10529,17.9,Whittlesea City Council,-37.6633,145.0615
17043,Mill Park,4 Villosa Ct,5,h,1050000.0,Ray,3082,Northern Metropolitan,10529,17.9,Whittlesea City Council,-37.6633,145.0615
17044,Mill Park,15 Westleigh Ct,3,h,561000.0,RW,3082,Northern Metropolitan,10529,17.9,Whittlesea City Council,-37.6633,145.0615
17045,Mitcham,4/3 Coppin Cl,2,u,568000.0,Ray,3132,Eastern Metropolitan,6871,17.2,Whitehorse City Council,-37.8183,145.1984666666667
17046,Mitcham,5 Lake Av,4,h,1330000.0,Noel,3132,Eastern Metropolitan,6871,17.2,Whitehorse City Council,-37.8183,145.1984666666667
17047,Mont Albert,12 Rostrevor Pde,4,h,2335000.0,Kay,3127,Eastern Metropolitan,2079,10.2,Boroondara City Council,-37.8131,145.10383333333334
17048,Montmorency,19A Looker Rd,3,h,780000.0,Barry,3094,Eastern Metropolitan,3891,16.2,Banyule City Council,-37.7188,145.1245
17049,Montmorency,15 Robert St,3,h,900000.0,Barry,3094,Eastern Metropolitan,3891,16.2,Banyule City Council,-37.7188,145.1245
17050,Moonee Ponds,47 Margaret St,2,h,1055000.0,Moonee,3039,Western Metropolitan,6232,6.2,Moonee Valley City Council,-37.7655,144.9203
17051,Moonee Ponds,64 Salisbury St,3,h,1435000.0,Nelson,3039,Western Metropolitan,6232,6.2,Moonee Valley City Council,-37.7655,144.9203
17052,Moonee Ponds,3 Sussex St,4,h,1275000.0,Nelson,3039,Western Metropolitan,6232,6.2,Moonee Valley City Council,-37.7655,144.9203
17053,Moorabbin,23 Franklin St,4,h,1070000.0,Buxton,3189,Southern Metropolitan,2555,14.3,Kingston City Council,-37.9407,145.0488333333333
17054,Mount Waverley,25 Donald St,3,h,1305000.0,Jellis,3149,Eastern Metropolitan,13366,14.2,Monash City Council,-37.8756,145.13853333333333
17055,Mount Waverley,74 Lechte Rd,3,h,1580000.0,Ray,3149,Eastern Metropolitan,13366,14.2,Monash City Council,-37.8756,145.13853333333333
17056,Mount Waverley,21 Sampson Dr,3,h,1025000.0,Harcourts,3149,Eastern Metropolitan,13366,14.2,Monash City Council,-37.8756,145.13853333333333
17057,Mount Waverley,1/52 St Albans St,4,t,1550000.0,McGrath,3149,Eastern Metropolitan,13366,14.2,Monash City Council,-37.8756,145.13853333333333
17058,Mulgrave,68 Curie Av,5,h,920000.0,Ray,3170,South-Eastern Metropolitan,7113,18.8,Monash City Council,-37.9276,145.18855
17059,Mulgrave,8 Malone Gr,3,h,900000.0,Ray,3170,South-Eastern Metropolitan,7113,18.8,Monash City Council,-37.9276,145.18855
17060,Mulgrave,7 Matlock Av,4,h,891000.0,Hall,3170,South-Eastern Metropolitan,7113,18.8,Monash City Council,-37.9276,145.18855
17061,Mulgrave,32 Richmond Cct,3,h,690000.0,Ray,3170,South-Eastern Metropolitan,7113,18.8,Monash City Council,-37.9276,145.18855
17062,Murrumbeena,4/167 Murrumbeena Rd,1,u,331000.0,Thomson,3163,Southern Metropolitan,4442,10.1,Glen Eira City Council,-37.8895,145.058025
17063,Murrumbeena,3/14 Wilson St,2,h,685000.0,hockingstuart,3163,Southern Metropolitan,4442,10.1,Glen Eira City Council,-37.8895,145.058025
17064,Newport,53 Mason St,4,h,1115000.0,Greg,3015,Western Metropolitan,5498,6.2,Hobsons Bay City Council,-37.8287,144.8763
17065,Newport,4 Wilkins St,3,h,1675000.0,Williams,3015,Western Metropolitan,5498,6.2,Hobsons Bay City Council,-37.8287,144.8763
17066,Niddrie,40a Jackson St,3,h,1291000.0,Barry,3042,Western Metropolitan,2291,10.4,Moonee Valley City Council,-37.7238,144.877275
17067,Northcote,9 Brooke St,2,h,1255000.0,Ray,3070,Northern Metropolitan,11364,5.3,Darebin City Council,-37.7667,145.00455
17068,Northcote,83 Gladstone Av,3,h,1215000.0,McGrath,3070,Northern Metropolitan,11364,5.3,Darebin City Council,-37.7667,145.00455
17069,Northcote,3 Lorna Av,2,h,1800000.0,McGrath,3070,Northern Metropolitan,11364,5.3,Darebin City Council,-37.7667,145.00455
17070,Northcote,17B McFarlane St,2,h,1085000.0,McGrath,3070,Northern Metropolitan,11364,5.3,Darebin City Council,-37.7667,145.00455
17071,Nunawading,1 Lindsay Av,3,h,987500.0,Fletchers,3131,Eastern Metropolitan,4973,15.4,Manningham City Council,-37.8387,145.17366666666666
17072,Nunawading,4 Solar Ct,4,h,1170000.0,Fletchers,3131,Eastern Metropolitan,4973,15.4,Manningham City Council,-37.8387,145.17366666666666
17073,Nunawading,1/271 Springvale Rd,3,u,711000.0,McGrath,3131,Eastern Metropolitan,4973,15.4,Manningham City Council,-37.8387,145.17366666666666
17074,Oak Park,4/29 Margaret St,2,t,585500.0,Eview,3046,Northern Metropolitan,2651,11.2,Moreland City Council,-37.7175,144.92933333333335
17075,Oakleigh,1/62 Golf Links Av,3,u,849500.0,Ray,3166,Southern Metropolitan,3224,12.3,Monash City Council,-37.9016,145.10004999999998
17076,Oakleigh,13 Hilbert Ct,3,h,1033000.0,Buxton,3166,Southern Metropolitan,3224,12.3,Monash City Council,-37.9016,145.10004999999998
17077,Oakleigh,1231 North Rd,4,h,991000.0,Woodards,3166,Southern Metropolitan,3224,12.3,Monash City Council,-37.9016,145.10004999999998
17078,Oakleigh East,56 Highland Av,3,h,1310000.0,C21,3166,Southern Metropolitan,2547,12.3,Monash City Council,-37.9016,145.10004999999998
17079,Oakleigh East,52 Kings Ct,3,t,633800.0,Barry,3166,Southern Metropolitan,2547,12.3,Monash City Council,-37.9016,145.10004999999998
17080,Oakleigh East,3a Sunburst St,3,h,1367000.0,Ray,3166,Southern Metropolitan,2547,12.3,Monash City Council,-37.9016,145.10004999999998
17081,Oakleigh South,9 Emerald St,3,h,921000.0,hockingstuart,3167,South-Eastern Metropolitan,3692,15.5,Kingston City Council,-37.9242,145.0824
17082,Oakleigh South,1172 North Rd,6,h,1900000.0,Harcourts,3167,South-Eastern Metropolitan,3692,15.5,Kingston City Council,-37.9242,145.0824
17083,Ormond,11a Bewdley St,4,t,1575000.0,Buxton,3204,Southern Metropolitan,3578,11.4,Glen Eira City Council,-37.9107,145.06560000000002
17084,Parkdale,13 Keith St,2,h,1275000.0,Buxton,3195,South-Eastern Metropolitan,5087,21.5,Kingston City Council,-38.0014,145.10508333333334
17085,Parkdale,64 McIndoe Pde,3,h,1655000.0,Buxton,3195,South-Eastern Metropolitan,5087,21.5,Kingston City Council,-38.0014,145.10508333333334
17086,Parkdale,34 Seventh St,3,h,1332000.0,Hodges,3195,South-Eastern Metropolitan,5087,21.5,Kingston City Council,-38.0014,145.10508333333334
17087,Parkdale,4 Third St,3,h,1320000.0,hockingstuart,3195,South-Eastern Metropolitan,5087,21.5,Kingston City Council,-38.0014,145.10508333333334
17088,Pascoe Vale,70 Derby St,3,h,983000.0,Brad,3044,Northern Metropolitan,7485,8.5,Moreland City Council,-37.7244,144.93845
17089,Patterson Lakes,10 Illawong Ct,4,h,701000.0,Ray,3197,South-Eastern Metropolitan,3351,31.2,Kingston City Council,-38.0765,145.14155
17090,Point Cook,63 Nossal Dr,4,h,565500.0,hockingstuart,3030,Western Metropolitan,15542,14.7,Wyndham City Council,-37.7922,144.64633333333333
17091,Point Cook,10 Truscott Gr,4,h,571500.0,hockingstuart,3030,Western Metropolitan,15542,14.7,Wyndham City Council,-37.7922,144.64633333333333
17092,Port Melbourne,159 Albert St,3,h,1515000.0,Marshall,3207,Southern Metropolitan,8648,3.5,Melbourne City Council,-37.8388,144.9282
17093,Port Melbourne,189 Station St,2,h,1155000.0,Chisholm,3207,Southern Metropolitan,8648,3.5,Melbourne City Council,-37.8388,144.9282
17094,Port Melbourne,95 Station St,2,h,1150000.0,Marshall,3207,Southern Metropolitan,8648,3.5,Melbourne City Council,-37.8388,144.9282
17095,Prahran,17 Arkle St,2,h,1460000.0,Jellis,3181,Southern Metropolitan,7717,4.6,Stonnington City Council,-37.8514,144.9949
17096,Prahran,12 Closeburn Av,4,h,2444000.0,Jellis,3181,Southern Metropolitan,7717,4.6,Stonnington City Council,-37.8514,144.9949
17097,Prahran,602/220 Commercial Rd,2,u,841000.0,hockingstuart,3181,Southern Metropolitan,7717,4.6,Stonnington City Council,-37.8514,144.9949
17098,Prahran,395 High St,2,h,1310000.0,Marshall,3181,Southern Metropolitan,7717,4.6,Stonnington City Council,-37.8514,144.9949
17099,Prahran,6 Irene Pl,3,h,1530000.0,hockingstuart,3181,Southern Metropolitan,7717,4.6,Stonnington City Council,-37.8514,144.9949
17100,Prahran,13/20 St Edmonds Rd,2,u,560000.0,Dingle,3181,Southern Metropolitan,7717,4.6,Stonnington City Council,-37.8514,144.9949
17101,Preston,3/9 Cormac St,2,t,660000.0,Harcourts,3072,Northern Metropolitan,14577,8.4,Darebin City Council,-37.7241,145.01565714285715
17102,Preston,6/383 Gilbert Rd,2,u,436000.0,Nelson,3072,Northern Metropolitan,14577,8.4,Darebin City Council,-37.7241,145.01565714285715
17103,Preston,43 May St,2,h,876000.0,Nelson,3072,Northern Metropolitan,14577,8.4,Darebin City Council,-37.7241,145.01565714285715
17104,Preston,37 Scotia St,3,h,1000000.0,Barry,3072,Northern Metropolitan,14577,8.4,Darebin City Council,-37.7241,145.01565714285715
17105,Preston,283 Tyler St,3,h,928000.0,hockingstuart,3072,Northern Metropolitan,14577,8.4,Darebin City Council,-37.7241,145.01565714285715
17106,Preston,1 Tynan St,3,h,1070000.0,Nelson,3072,Northern Metropolitan,14577,8.4,Darebin City Council,-37.7241,145.01565714285715
17107,Reservoir,4/23 Allenby Av,2,u,445000.0,Love,3073,Northern Metropolitan,21650,12.0,Darebin City Council,-37.7137,145.01315
17108,Reservoir,5 Birdwood St,3,h,1120000.0,Nelson,3073,Northern Metropolitan,21650,12.0,Darebin City Council,-37.7137,145.01315
17109,Reservoir,1/26 Chaleyer St,3,u,470000.0,Ray,3073,Northern Metropolitan,21650,12.0,Darebin City Council,-37.7137,145.01315
17110,Reservoir,2 Churchill Av,3,h,641000.0,Jason,3073,Northern Metropolitan,21650,12.0,Darebin City Council,-37.7137,145.01315
17111,Reservoir,4 Hickford St,3,h,655000.0,Love,3073,Northern Metropolitan,21650,12.0,Darebin City Council,-37.7137,145.01315
17112,Reservoir,57 Hobbs Cr,3,h,888000.0,Barry,3073,Northern Metropolitan,21650,12.0,Darebin City Council,-37.7137,145.01315
17113,Reservoir,12 Kinkora Rd,3,h,885000.0,hockingstuart,3073,Northern Metropolitan,21650,12.0,Darebin City Council,-37.7137,145.01315
17114,Reservoir,28A McMahon Rd,2,h,510000.0,Barry,3073,Northern Metropolitan,21650,12.0,Darebin City Council,-37.7137,145.01315
17115,Reservoir,3/13 Nisbett St,2,u,481000.0,Barry,3073,Northern Metropolitan,21650,12.0,Darebin City Council,-37.7137,145.01315
17116,Richmond,6 Brady St,3,h,1275000.0,Biggin,3121,Northern Metropolitan,14949,2.4,Yarra City Council,-37.819,145.00428571428571
17117,Richmond,83 Buckingham St,2,h,1035000.0,Marshall,3121,Northern Metropolitan,14949,2.4,Yarra City Council,-37.819,145.00428571428571
17118,Richmond,16/10 Elaine Ct,3,u,931000.0,Biggin,3121,Northern Metropolitan,14949,2.4,Yarra City Council,-37.819,145.00428571428571
17119,Richmond,14 Hunter St,3,h,2640000.0,hockingstuart,3121,Northern Metropolitan,14949,2.4,Yarra City Council,-37.819,145.00428571428571
17120,Richmond,21A Kent St,2,t,842000.0,Jellis,3121,Northern Metropolitan,14949,2.4,Yarra City Council,-37.819,145.00428571428571
17121,Ringwood,3/22 Barkly St,2,u,530000.0,Philip,3134,Eastern Metropolitan,7785,19.9,Maroondah City Council,-37.764,145.23522
17122,Ringwood,2/30 Maidstone St,2,u,596000.0,Jellis,3134,Eastern Metropolitan,7785,19.9,Maroondah City Council,-37.764,145.23522
17123,Ringwood,10b Woodside Av,3,u,742000.0,Philip,3134,Eastern Metropolitan,7785,19.9,Maroondah City Council,-37.764,145.23522
17124,Ringwood East,16 Mines Rd,3,h,1236000.0,Carter,3135,Eastern Metropolitan,4407,21.3,Maroondah City Council,-37.8213,145.2481
17125,Ringwood East,18 Mirabel Av,4,h,1210000.0,Barry,3135,Eastern Metropolitan,4407,21.3,Maroondah City Council,-37.8213,145.2481
17126,Ringwood North,62 Felix Cr,3,h,895000.0,hockingstuart,3134,Eastern Metropolitan,3619,19.9,Manningham City Council,-37.764,145.23522
17127,Ringwood North,7 Hygeia Pde,3,h,880000.0,RW,3134,Eastern Metropolitan,3619,19.9,Manningham City Council,-37.764,145.23522
17128,Ripponlea,3/211 Hotham St,2,u,500000.0,hockingstuart,3185,Southern Metropolitan,821,7.2,Port Phillip City Council,-37.8783,145.00279999999998
17129,Roxburgh Park,34 Murchison Dr,3,h,445000.0,Raine,3064,Northern Metropolitan,5833,20.6,Hume City Council,-37.5476,144.93716
17130,Sandringham,67A Bay Rd,4,h,1855000.0,hockingstuart,3191,Southern Metropolitan,4497,15.2,Bayside City Council,-37.9531,145.0149
17131,Sandringham,16 Jennings St,4,h,3600000.0,hockingstuart,3191,Southern Metropolitan,4497,15.2,Bayside City Council,-37.9531,145.0149
17132,Seddon,52 Alexander St,2,h,990000.0,Burnham,3011,Western Metropolitan,2417,5.1,Maribyrnong City Council,-37.8062,144.89436666666666
17133,Seddon,34 Princess St,3,h,1126000.0,Jas,3011,Western Metropolitan,2417,5.1,Maribyrnong City Council,-37.8062,144.89436666666666
17134,South Melbourne,58C Napier St,3,h,770000.0,hockingstuart,3205,Southern Metropolitan,5943,1.9,Port Phillip City Council,-37.8342,144.95945
17135,South Melbourne,1009/148 Wells St,2,u,561000.0,MICM,3205,Southern Metropolitan,5943,1.9,Port Phillip City Council,-37.8342,144.95945
17136,South Morang,25 Cairn Dr,4,h,758000.0,Love,3752,Northern Metropolitan,7969,20.5,Whittlesea City Council,-37.6363,145.0855
17137,South Morang,27 Kipping Ri,4,h,590000.0,Millership,3752,Northern Metropolitan,7969,20.5,Whittlesea City Council,-37.6363,145.0855
17138,South Morang,26 Tuross Cr,3,h,601000.0,Millership,3752,Northern Metropolitan,7969,20.5,Whittlesea City Council,-37.6363,145.0855
17139,South Morang,102 Vincent Dr,3,h,500000.0,Harcourts,3752,Northern Metropolitan,7969,20.5,Whittlesea City Council,-37.6363,145.0855
17140,South Yarra,2/35 Alexandra Av,2,t,1510000.0,Jellis,3141,Southern Metropolitan,14887,2.7,Melbourne City Council,-37.836,144.9835
17141,South Yarra,61 Osborne St,3,h,2395000.0,hockingstuart,3141,Southern Metropolitan,14887,2.7,Melbourne City Council,-37.836,144.9835
17142,South Yarra,103/334 Toorak Rd,2,u,920000.0,Wilson,3141,Southern Metropolitan,14887,2.7,Melbourne City Council,-37.836,144.9835
17143,Spotswood,13B Vernier St,2,h,680000.0,Sweeney,3015,Western Metropolitan,1223,6.2,Hobsons Bay City Council,-37.8287,144.8763
17144,Springvale,63 Grace St,2,h,660000.0,Ray,3171,South-Eastern Metropolitan,7412,20.8,Greater Dandenong City Council,-37.9476,145.155
17145,Springvale South,2 Solson Ct,4,h,722000.0,iSell,3172,South-Eastern Metropolitan,4054,22.2,Greater Dandenong City Council,-37.9807,145.1387
17146,St Albans,41 Glendenning St,4,h,824000.0,Westside,3021,Western Metropolitan,14042,14.0,Brimbank City Council,-37.7334,144.792225
17147,St Albans,11 Murray St,3,h,562000.0,Ray,3021,Western Metropolitan,14042,14.0,Brimbank City Council,-37.7334,144.792225
17148,St Albans,23 Scott Av,4,h,790000.0,Westside,3021,Western Metropolitan,14042,14.0,Brimbank City Council,-37.7334,144.792225
17149,St Helena,20 Halsbury Ct,4,h,875000.0,Ray,3088,Eastern Metropolitan,915,16.1,Banyule City Council,-37.7064,145.12347499999998
17150,St Kilda,15 Dalgety La,2,h,1300000.0,Greg,3182,Southern Metropolitan,13240,5.0,Port Phillip City Council,-37.8634,144.97806666666665
17151,St Kilda,4/3 Eildon Ct,2,u,582000.0,Gary,3182,Southern Metropolitan,13240,5.0,Port Phillip City Council,-37.8634,144.97806666666665
17152,St Kilda,37/3 Herbert St,1,u,366000.0,hockingstuart,3182,Southern Metropolitan,13240,5.0,Port Phillip City Council,-37.8634,144.97806666666665
17153,St Kilda,26 Nelson St,2,h,808000.0,Biggin,3182,Southern Metropolitan,13240,5.0,Port Phillip City Council,-37.8634,144.97806666666665
17154,St Kilda,60 Octavia St,3,h,1315000.0,Gary,3182,Southern Metropolitan,13240,5.0,Port Phillip City Council,-37.8634,144.97806666666665
17155,St Kilda,25 Smith St,2,h,1316000.0,Gary,3182,Southern Metropolitan,13240,5.0,Port Phillip City Council,-37.8634,144.97806666666665
